tt,staname,stla,stlo,stel,evtname,evla,evlo,evel,period,weight,dist,vel
1,MX001,24.308,101.963,0,MX000,24.069,101.994,0,2.000,1,26.64463,3
1,MX002,24.599,101.936,0,MX000,24.069,101.994,0,2.000,1,59.09937,3
1,MX003,24.852,101.992,0,MX000,24.069,101.994,0,2.000,1,86.81279,3
1,MX004,25.128,101.981,0,MX000,24.069,101.994,0,2.000,1,117.30969,3
1,MX005,25.424,102.044,0,MX000,24.069,101.994,0,2.000,1,150.19619,3
1,MX006,25.684,102.052,0,MX000,24.069,101.994,0,2.000,1,179.07156,3
1,MX007,25.994,101.987,0,MX000,24.069,101.994,0,2.000,1,213.27681,3
1,MX008,23.966,102.278,0,MX000,24.069,101.994,0,2.000,1,31.09369,3
1,MX009,24.273,102.269,0,MX000,24.069,101.994,0,2.000,1,35.99726,3
1,MX010,24.502,102.254,0,MX000,24.069,101.994,0,2.000,1,54.79776,3
1,MX011,24.794,102.222,0,MX000,24.069,101.994,0,2.000,1,83.60979,3
1,MX012,25.142,102.222,0,MX000,24.069,101.994,0,2.000,1,121.14637,3
1,MX013,25.481,102.275,0,MX000,24.069,101.994,0,2.000,1,158.99823,3
1,MX014,25.778,102.228,0,MX000,24.069,101.994,0,2.000,1,190.84309,3
1,MX015,26.019,102.326,0,MX000,24.069,101.994,0,2.000,1,218.61292,3
1,MX016,24.071,102.598,0,MX000,24.069,101.994,0,2.000,1,61.41995,3
1,MX017,24.235,102.543,0,MX000,24.069,101.994,0,2.000,1,58.84077,3
1,MX018,24.508,102.593,0,MX000,24.069,101.994,0,2.000,1,77.99036,3
1,MX019,24.907,102.564,0,MX000,24.069,101.994,0,2.000,1,109.40833,3
1,MX020,25.210,102.520,0,MX000,24.069,101.994,0,2.000,1,137.16563,3
1,MX021,25.487,102.546,0,MX000,24.069,101.994,0,2.000,1,166.76808,3
1,MX022,25.663,102.554,0,MX000,24.069,101.994,0,2.000,1,185.50043,3
1,MX023,25.939,102.620,0,MX000,24.069,101.994,0,2.000,1,216.66625,3
1,MX024,23.981,102.889,0,MX000,24.069,101.994,0,2.000,1,91.60377,3
1,MX025,24.215,102.910,0,MX000,24.069,101.994,0,2.000,1,94.51903,3
1,MX026,24.543,102.802,0,MX000,24.069,101.994,0,2.000,1,97.46839,3
1,MX027,24.869,102.904,0,MX000,24.069,101.994,0,2.000,1,127.98159,3
1,MX028,25.188,102.879,0,MX000,24.069,101.994,0,2.000,1,153.01958,3
1,MX029,25.444,102.848,0,MX000,24.069,101.994,0,2.000,1,175.23074,3
1,MX030,25.757,102.856,0,MX000,24.069,101.994,0,2.000,1,206.31526,3
1,MX031,26.026,102.796,0,MX000,24.069,101.994,0,2.000,1,231.49680,3
1,MX032,24.051,103.164,0,MX000,24.069,101.994,0,2.000,1,119.03047,3
1,MX033,24.274,103.132,0,MX000,24.069,101.994,0,2.000,1,117.93360,3
1,MX034,24.530,103.113,0,MX000,24.069,101.994,0,2.000,1,124.58683,3
1,MX035,24.854,103.144,0,MX000,24.069,101.994,0,2.000,1,145.54447,3
1,MX036,25.196,103.136,0,MX000,24.069,101.994,0,2.000,1,170.25106,3
1,MX037,25.498,103.195,0,MX000,24.069,101.994,0,2.000,1,199.53863,3
1,MX038,25.692,103.204,0,MX000,24.069,101.994,0,2.000,1,217.52401,3
1,MX039,25.962,103.121,0,MX000,24.069,101.994,0,2.000,1,238.64850,3
1,MX040,24.028,103.498,0,MX000,24.069,101.994,0,2.000,1,153.06780,3
1,MX041,24.332,103.415,0,MX000,24.069,101.994,0,2.000,1,147.29463,3
1,MX042,24.586,103.401,0,MX000,24.069,101.994,0,2.000,1,153.95164,3
1,MX043,24.826,103.407,0,MX000,24.069,101.994,0,2.000,1,166.10387,3
1,MX044,25.149,103.440,0,MX000,24.069,101.994,0,2.000,1,189.16767,3
1,MX045,25.416,103.463,0,MX000,24.069,101.994,0,2.000,1,210.67895,3
1,MX046,25.654,103.421,0,MX000,24.069,101.994,0,2.000,1,227.25053,3
1,MX047,26.058,103.499,0,MX000,24.069,101.994,0,2.000,1,267.62791,3
1,MX048,24.051,103.657,0,MX000,24.069,101.994,0,2.000,1,169.19660,3
1,MX049,24.356,103.718,0,MX000,24.069,101.994,0,2.000,1,178.01436,3
1,MX050,24.543,103.667,0,MX000,24.069,101.994,0,2.000,1,177.80849,3
1,MX051,24.884,103.714,0,MX000,24.069,101.994,0,2.000,1,196.35352,3
1,MX052,25.156,103.755,0,MX000,24.069,101.994,0,2.000,1,215.20068,3
1,MX053,25.424,103.690,0,MX000,24.069,101.994,0,2.000,1,227.97586,3
1,MX054,25.711,103.769,0,MX000,24.069,101.994,0,2.000,1,255.44965,3
1,MX055,26.022,103.709,0,MX000,24.069,101.994,0,2.000,1,277.06253,3
1,MX056,23.970,103.935,0,MX000,24.069,101.994,0,2.000,1,197.79378,3
1,MX057,24.274,103.956,0,MX000,24.069,101.994,0,2.000,1,200.73955,3
1,MX058,24.533,104.000,0,MX000,24.069,101.994,0,2.000,1,210.12257,3
1,MX059,24.887,104.006,0,MX000,24.069,101.994,0,2.000,1,223.22493,3
